ordering,selection,placement,mean_gap_pct,mean_gap_c,mean_gap_bkw,mean_gap_nt,instances
area,fitness-number,MinD,13.6155,12.36772380952381,9.5609,14.742857142857142,104
area,fitness-number,RM,13.6155,12.36772380952381,9.5609,14.742857142857142,104
area,fitness-number,SN,13.6155,12.36772380952381,9.5609,14.742857142857142,104
area,fitness-number,TN,13.6155,12.36772380952381,9.5609,14.742857142857142,104
area,nre,MaxD,14.0282,12.738090476190477,6.9951923076923075,15.721428571428572,104
area,nre,LM,14.1303,14.199747619047619,10.758015384615385,14.735714285714286,104
maxside,max-area,TN,16.4713,14.411371428571428,16.528846153846153,17.07857142857143,104
width,max-area,TN,16.4713,14.411371428571428,16.528846153846153,17.07857142857143,104
maxside,max-area,MaxD,17.2273,14.728842857142856,16.179492307692307,18.17142857142857,104
width,max-area,MaxD,17.2273,14.728842857142856,16.179492307692307,18.17142857142857,104
diagonal,max-area,TN,17.4756,16.95767619047619,16.142623076923076,17.87857142857143,104
maxside,max-area,LM,17.6269,16.415342857142857,17.575315384615383,18.0,104
width,max-area,LM,17.6269,16.415342857142857,17.575315384615383,18.0,104
perimeter,max-area,TN,17.7776,16.547619047619047,16.028846153846153,18.47142857142857,104
maxside,max-area,MinD,18.0607,14.186509523809523,17.261215384615383,19.37142857142857,104
width,max-area,MinD,18.0607,14.186509523809523,17.261215384615383,19.37142857142857,104
diagonal,max-area,MaxD,18.0714,16.732809523809525,17.695515384615383,18.542857142857144,104
height,first-fit,TN,18.0952,20.615080952380954,14.075323076923077,18.085714285714285,104
height,max-area,TN,18.0952,20.615080952380954,14.075323076923077,18.085714285714285,104
maxside,max-area,RM,18.2702,17.546295238095237,17.009623076923077,18.72142857142857,104
width,max-area,RM,18.2702,17.546295238095237,17.009623076923077,18.72142857142857,104
perimeter,max-area,MaxD,18.3540,16.541009523809524,17.996792307692306,18.964285714285715,104
diagonal,max-area,RM,18.4331,15.4762,17.503207692307694,19.492857142857144,104
diagonal,max-area,MinD,18.6088,16.77910476190476,19.073723076923077,19.071428571428573,104
perimeter,max-area,MinD,18.8858,15.780423809523809,19.709946153846154,19.664285714285715,104
diagonal,max-area,LM,19.0799,15.145504761904762,17.365392307692307,20.57857142857143,104
perimeter,max-area,RM,19.1518,15.800280952380952,18.575323076923077,20.264285714285716,104
height,first-fit,MinD,19.2692,21.41534761904762,15.097761538461539,19.4,104
height,max-area,MinD,19.2692,21.41534761904762,15.097761538461539,19.4,104
height,first-fit,RM,19.3352,21.560847619047617,14.967953846153847,19.478571428571428,104
height,max-area,RM,19.3352,21.560847619047617,14.967953846153847,19.478571428571428,104
diagonal,max-area,SN,19.4269,17.103180952380953,18.402246153846153,20.314285714285713,104
maxside,max-area,SN,19.5908,16.95767619047619,19.371792307692306,20.42142857142857,104
