instance,group,n_items,arm,ordering,selection,placement,tower_removal,vertical_niche,engine,height,lower_bound,gap_pct,raises,buried_pct,top_waste_pct,time_ms
PVA10002,a,100,grid,width,tre,RM,F,T,solve,1102,985,11.8782,,,,12.0
PVA10002,a,100,grid,width,tre,RM,T,F,measure,1090,985,10.6599,82,8.1734,2.5578,5.9
PVA10002,a,100,grid,width,tre,RM,T,T,solve,1102,985,11.8782,,,,7.6
PVA10002,a,100,grid,width,tre,TN,F,F,measure,1088,985,10.4569,80,5.8547,4.6734,5.9
PVA10002,a,100,grid,width,tre,TN,F,T,solve,1058,985,7.4112,,,,6.3
PVA10002,a,100,grid,width,tre,TN,T,F,measure,1088,985,10.4569,80,5.8547,4.6734,5.8
PVA10002,a,100,grid,width,tre,TN,T,T,solve,1058,985,7.4112,,,,8.8
PVA10002,a,100,grid,width,tre,SN,F,F,measure,1124,985,14.1117,78,11.4421,2.7408,4.8
PVA10002,a,100,grid,width,tre,SN,F,T,solve,1108,985,12.4873,,,,9.1
PVA10002,a,100,grid,width,tre,SN,T,F,measure,1124,985,14.1117,78,11.4421,2.7408,5.8
PVA10002,a,100,grid,width,tre,SN,T,T,solve,1108,985,12.4873,,,,7.7
PVA10002,a,100,grid,width,tre,MinD,F,F,measure,1071,985,8.7310,80,5.8372,2.9651,6.2
PVA10002,a,100,grid,width,tre,MinD,F,T,solve,1078,985,9.4416,,,,7.4
PVA10002,a,100,grid,width,tre,MinD,T,F,measure,1071,985,8.7310,80,5.8372,2.9651,6.3
PVA10002,a,100,grid,width,tre,MinD,T,T,solve,1078,985,9.4416,,,,10.3
PVA10002,a,100,grid,width,tre,MaxD,F,F,measure,1077,985,9.3401,77,5.7615,3.6498,5.2
PVA10002,a,100,grid,width,tre,MaxD,F,T,solve,1094,985,11.0660,,,,7.1
PVA10002,a,100,grid,width,tre,MaxD,T,F,measure,1077,985,9.3401,77,5.7615,3.6498,5.7
PVA10002,a,100,grid,width,tre,MaxD,T,T,solve,1094,985,11.0660,,,,8.9
PVA10002,a,100,grid,width,nre,MinD,F,F,measure,1072,985,8.8325,36,4.3264,4.5774,4.6
PVA10002,a,100,grid,width,nre,MinD,F,T,solve,1068,985,8.4264,,,,8.4
PVA10002,a,100,grid,width,nre,MinD,T,F,measure,1072,985,8.8325,36,4.3264,4.5774,4.7
PVA10002,a,100,grid,width,nre,MinD,T,T,solve,1068,985,8.4264,,,,6.5
PVA10002,a,100,grid,width,nre,MaxD,F,F,measure,1076,985,9.2386,44,6.2409,3.0689,5.8
PVA10002,a,100,grid,width,nre,MaxD,F,T,solve,1087,985,10.3553,,,,8.4
PVA10002,a,100,grid,width,nre,MaxD,T,F,measure,1076,985,9.2386,44,6.2409,3.0689,4.7
PVA10002,a,100,grid,width,nre,MaxD,T,T,solve,1087,985,10.3553,,,,7.7
PVA10002,a,100,grid,width,nre,LM,F,F,measure,1078,985,9.4416,44,7.4336,2.0793,7.4
PVA10002,a,100,grid,width,nre,LM,F,T,solve,1067,985,8.3249,,,,9.2
PVA10002,a,100,grid,width,nre,LM,T,F,measure,1078,985,9.4416,44,7.4336,2.0793,6.3
PVA10002,a,100,grid,width,nre,LM,T,T,solve,1067,985,8.3249,,,,7.4
PVA10002,a,100,grid,width,nre,RM,F,F,measure,1078,985,9.4416,44,7.4336,2.0793,5.2
PVA10002,a,100,grid,width,nre,RM,F,T,solve,1063,985,7.9188,,,,8.3
PVA10002,a,100,grid,width,nre,RM,T,F,measure,1078,985,9.4416,44,7.4336,2.0793,5.2
